i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
0,1,1au9q3wiWxIwXTazIjHdfF,5vPVxHRFg8cUwRr8j7yqXf,2.208344440605142,2.2368581138439367,2.2226012772245394
0,2,1au9q3wiWxIwXTazIjHdfF,732iQF09gPlc32IlBGoXvv,2.16873813390804,2.217700166778562,2.193219150343301
0,3,1au9q3wiWxIwXTazIjHdfF,0JXXNGljqupsJaZsgSbMZV,2.143660582254221,2.2167984423426303,2.1802295122984257
0,4,1au9q3wiWxIwXTazIjHdfF,43kmmgGCdJAMn5oOqOY2kd,2.0166704597161385,2.2147726555164162,2.1157215576162773
0,5,1au9q3wiWxIwXTazIjHdfF,4CszVFNslX9JLvjVPTeqaW,2.008804313951688,2.2117631892211875,2.1102837515864374
0,6,1au9q3wiWxIwXTazIjHdfF,5FjhLFw4Zs9wQWIiiQRpgo,2.0040572464753907,2.204340029111094,2.1041986377932425
0,7,1au9q3wiWxIwXTazIjHdfF,24Yy3FTpcOkcAbpzRKIFjw,1.977760331733475,2.1991690366458494,2.0884646841896624
0,8,1au9q3wiWxIwXTazIjHdfF,2NxIp9jbmsnaIiAExWOEo0,1.9646402233897609,2.1990346727183296,2.081837448054045
0,9,1au9q3wiWxIwXTazIjHdfF,74sb4Gib0cL3TQeCjYF8vh,1.9358271746480469,2.1975097363433624,2.0666684554957047
0,10,1au9q3wiWxIwXTazIjHdfF,60wtmXbcX9SBhdOe0koasN,1.9054246697698332,2.1928163760783135,2.049120522924073
0,11,1au9q3wiWxIwXTazIjHdfF,0jDzF53LecgvsnlWmmU2kX,1.903549192404056,2.185882974060585,2.0447160832323203
0,12,1au9q3wiWxIwXTazIjHdfF,6mfUwnHd7OTYPEWmOsvJsn,1.883025402703536,2.185019469443201,2.0340224360733683
0,13,1au9q3wiWxIwXTazIjHdfF,2Ua5Nq3gQRPAJqnK8Nb8AQ,1.8788342857088793,2.1850151150791923,2.0319247003940357
0,14,1au9q3wiWxIwXTazIjHdfF,5Y4KPoGudwsnrNWtWXrcSi,1.8410133016779209,2.184401276074877,2.012707288876399
0,15,1au9q3wiWxIwXTazIjHdfF,4T2qnyKCo9UISjERbIeJQg,1.8039439219447504,2.18280856406072,1.9933762430027353
0,16,1au9q3wiWxIwXTazIjHdfF,3sC62j1Cjeea5tAhcyGcs8,1.7801678025701095,2.18280856406072,1.9814881833154148
0,17,1au9q3wiWxIwXTazIjHdfF,5eP4WD4hvS9sYpQukzX3QG,1.7795453088925486,2.1826575092436995,1.981101409068124
0,18,1au9q3wiWxIwXTazIjHdfF,4EWCNWgDS8707fNSZ1oaA5,1.7708080069602925,2.181429768392185,1.9761188876762388
0,19,1au9q3wiWxIwXTazIjHdfF,5E30LdtzQTGqRvNd7l6kG5,1.761990973378894,2.1810585757048253,1.9715247745418596
0,20,1au9q3wiWxIwXTazIjHdfF,4JOP8ELK6AaeySe7sKe996,1.7610037813626718,2.1807535817453245,1.970878681553998
1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,3.4751235384197043,4.1454026298677285,3.8102630841437164
1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,3.4674421745772386,4.104798618943539,3.7861203967603885
1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,3.4180435779315217,4.084348992072112,3.751196285001817
1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,3.383846932439801,4.069702250704671,3.726774591572236
1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,3.357265102944338,4.069096992864098,3.713181047904218
1,6,1ExfPZEiahqhLyajhybFeS,6JUnflvdkYvbzsp6zWpaCZ,3.349354874585396,4.046761587057716,3.698058230821556
1,7,1ExfPZEiahqhLyajhybFeS,7EzdQnopwog0YWUoRBEowX,3.337114939098236,4.0330170567940895,3.685065997946163
1,8,1ExfPZEiahqhLyajhybFeS,2UOytD96KzsV0PyDI9uPTu,3.3190407971073204,4.029561225193602,3.674301011150461
